Merk,Model,Storage,Type,Harga S,Harga A,Harga B,Harga C,Harga D,Harga E,Kuota (TIO) / Fullset (Wowfone)
ACER,A701,16GB,ICONIA TAB A701 16GB,100000,100000,100000,50000,50000,50000,0
ACER,A701,32GB,ICONIA TAB A701 32GB,100000,100000,100000,50000,50000,50000,0
ACER,A701,64GB,ICONIA TAB A701 64GB,100000,100000,100000,50000,50000,50000,0
ACER,E3,4GB,LIQUID E3 DUO,100000,100000,100000,50000,50000,50000,0
ACER,E700,4GB,LIQUID E700,100000,100000,100000,50000,50000,50000,0
ACER,JADE,8GB,LIQUID JADE,100000,100000,100000,50000,50000,50000,0
ACER,S1,8GB,LIQUID JADE,100000,100000,100000,50000,50000,50000,0
ACER,LIQUID S1,8GB,LIQUID S1,100000,100000,100000,50000,50000,50000,0
ACER,LIQUID S1S,8GB,LIQUID S1 DUO,100000,100000,100000,50000,50000,50000,0
ACER,Z160,4GB,LIQUID Z160,100000,100000,100000,50000,50000,50000,0
ACER,Z205,4GB,LIQUID Z205,100000,100000,100000,50000,50000,50000,0
ACER,Z220,4GB,LIQUID Z220,100000,100000,100000,50000,50000,50000,0
ACER,T012,4GB,LIQUID Z320,100000,100000,100000,50000,50000,50000,0
ACER,Z330,4GB,LIQUID Z330,100000,100000,100000,50000,50000,50000,0
ACER,Z330,4GB,LIQUID Z500,100000,100000,100000,50000,50000,50000,0
ACER,Z520,4GB,LIQUID Z520,100000,100000,100000,50000,50000,50000,0
ADVAN,S5Q,4GB,BARCA 5 S5Q,100000,100000,100000,50000,50000,50000,0
ADVAN,S7Q,4GB,BARCA TAB 7,100000,100000,100000,50000,50000,50000,0
ADVAN,G1 PRO,4GB,G1,100000,100000,100000,50000,50000,50000,0
ADVAN,G5,32GB,G5,250000,200000,150000,100000,100000,100000,0
ADVAN,G5 6201,32GB,G5,250000,200000,150000,100000,100000,100000,0
ADVAN,S4H,4GB,GAIA MINI S4H,100000,100000,100000,50000,50000,50000,0
ADVAN,5202,16GB,NASA SOSMED HERO,100000,100000,100000,50000,50000,50000,0
ADVAN,S6 PLUS,8GB,S6 PLUS,100000,100000,100000,50000,50000,50000,0
ADVAN,TAB 8 BELAJAR ELITE,16GB,TAB 8 BELAJAR ELITE,100000,100000,100000,50000,50000,50000,0
ADVAN,TAB GALLILEA 8 INCH,16GB,TAB GALLILEA 8 INCH,100000,100000,100000,50000,50000,50000,0
ADVAN,SC9863A,32GB,TAB SKETSA 10 INCH,100000,100000,100000,50000,50000,50000,0
ADVAN,T618,128GB,TAB VX,100000,100000,100000,50000,50000,50000,0
ADVAN,W80,16GB,VANBOOK W80,100000,100000,100000,50000,50000,50000,0
ADVAN,I45,4GB,VANDROID I45,100000,100000,100000,50000,50000,50000,0
ADVAN,I4D,4GB,VANDROID I4D,100000,100000,100000,50000,50000,50000,0
ADVAN,I5,4GB,VANDROID I5,100000,100000,100000,50000,50000,50000,0
ADVAN,I5C,4GB,VANDROID I5C,100000,100000,100000,50000,50000,50000,0
ADVAN,I5E,4GB,VANDROID I5E,100000,100000,100000,50000,50000,50000,0
ADVAN,M6,16GB,VANDROID M6,100000,100000,100000,50000,50000,50000,0
ADVAN,S4A,4GB,VANDROID S4A,100000,100000,100000,50000,50000,50000,0
ADVAN,S4K,4GB,VANDROID S4K STAR MINI,100000,100000,100000,50000,50000,50000,0
ADVAN,S5E,4GB,VANDROID S4Z,100000,100000,100000,50000,50000,50000,0
ADVAN,S50,4GB,VANDROID S50,100000,100000,100000,50000,50000,50000,0
ADVAN,S50D,4GB,VANDROID S50D,100000,100000,100000,50000,50000,50000,0
ADVAN,S50F,4GB,VANDROID S50F,100000,100000,100000,50000,50000,50000,0
ADVAN,S50G,4GB,VANDROID S50G,100000,100000,100000,50000,50000,50000,0
ADVAN,S50K,16GB,VANDROID S50K 16GB,100000,100000,100000,50000,50000,50000,0
ADVAN,S50K,32GB,VANDROID S50K 32GB,100000,100000,100000,50000,50000,50000,0
ADVAN,S50K,8GB,VANDROID S50K 8GB,100000,100000,100000,50000,50000,50000,0
ADVAN,S5E,4GB,VANDROID S5E,100000,100000,100000,50000,50000,50000,0
ADVAN,S5E,4GB,VANDROID S5E LTE,100000,100000,100000,50000,50000,50000,0
ADVAN,S5E,4GB,VANDROID S5E NXT,100000,100000,100000,50000,50000,50000,0
ADVAN,S5H,4GB,VANDROID S5H,100000,100000,100000,50000,50000,50000,0
ADVAN,S5J,4GB,VANDROID S5J,100000,100000,100000,50000,50000,50000,0
ADVAN,S5M,4GB,VANDROID S5M RISING STAR,100000,100000,100000,50000,50000,50000,0
ALCATEL,7040A,4GB,ALCATEL C7,100000,100000,100000,50000,50000,50000,0
ALCATEL,7040A,8GB,ALCATEL C7,100000,100000,100000,50000,50000,50000,0
ALCATEL,7040D,4GB,ALCATEL C7,100000,100000,100000,50000,50000,50000,0
ALCATEL,7040D,8GB,ALCATEL C7,100000,100000,100000,50000,50000,50000,0
ALCATEL,4034G,4GB,ALCATEL PIXI 4,100000,100000,100000,50000,50000,50000,0
APPLE,IPAD AIR (5TH GENERATION),128GB,IPAD AIR 5 4G 128GB,1,1,1,1,1,1,0
APPLE,IPAD AIR (5TH GENERATION),256GB,IPAD AIR 5 4G 256GB,1,1,1,1,1,1,0
APPLE,IPAD AIR (5TH GENERATION),64GB,IPAD AIR 5 4G 64GB,1,1,1,1,1,1,0
APPLE,IPAD AIR (5TH GENERATION),64GB,IPAD AIR 5 64GB,1,1,1,1,1,1,0
APPLE,IPAD AIR 1,64GB,IPAD AIR 64GB,650000,600000,500000,350000,300000,250000,0
APPLE,IPAD MINI 1,16GB,IPAD MINI 1 16GB,350000,300000,250000,150000,150000,150000,0
APPLE,IPAD MINI 1,32GB,IPAD MINI 1 32GB,350000,350000,300000,200000,200000,200000,0
APPLE,IPAD MINI 1,16GB,IPAD MINI 1 4G 16GB,350000,300000,250000,150000,150000,150000,0
APPLE,IPAD MINI 1,32GB,IPAD MINI 1 4G 32GB,350000,350000,300000,200000,200000,200000,0
APPLE,IPAD MINI 1,64GB,IPAD MINI 1 4G 64GB,450000,450000,350000,250000,250000,250000,0
APPLE,IPAD MINI 1,64GB,IPAD MINI 1 64GB,450000,450000,350000,250000,250000,250000,0
APPLE,IPAD MINI 2,128GB,IPAD MINI 2 128GB,850000,800000,650000,400000,350000,300000,0
APPLE,IPAD MINI 2,16GB,IPAD MINI 2 16GB,650000,500000,400000,250000,250000,250000,0
APPLE,IPAD MINI 2,32GB,IPAD MINI 2 32GB,700000,700000,550000,350000,300000,250000,0
APPLE,IPAD MINI 2,128GB,IPAD MINI 2 4G 128GB,850000,800000,650000,400000,350000,300000,0
APPLE,IPAD MINI 2,16GB,IPAD MINI 2 4G 16GB,650000,500000,400000,250000,250000,250000,0
APPLE,IPAD MINI 2,32GB,IPAD MINI 2 4G 32GB,700000,700000,550000,350000,300000,250000,0
APPLE,IPAD MINI 2,64GB,IPAD MINI 2 4G 64GB,800000,700000,550000,350000,300000,250000,0
APPLE,IPAD MINI 2,64GB,IPAD MINI 2 64GB,800000,700000,550000,350000,300000,250000,0
APPLE,IPAD MINI 3,128GB,IPAD MINI 3 128GB,1150000,1050000,850000,550000,500000,450000,0
APPLE,IPAD MINI 3,16GB,IPAD MINI 3 16GB,950000,850000,700000,450000,400000,350000,0
APPLE,IPAD MINI 3,32GB,IPAD MINI 3 32GB,1050000,950000,750000,500000,450000,400000,0
APPLE,IPAD MINI 3,128GB,IPAD MINI 3 4G 128GB,1150000,1050000,850000,550000,500000,450000,0
APPLE,IPAD MINI 3,16GB,IPAD MINI 3 4G 16GB,950000,850000,700000,450000,400000,350000,0
APPLE,IPAD MINI 3,32GB,IPAD MINI 3 4G 32GB,1050000,950000,750000,500000,450000,400000,0
APPLE,IPAD MINI 3,64GB,IPAD MINI 3 4G 64GB,1150000,1050000,850000,550000,500000,450000,0
APPLE,IPAD MINI 3,64GB,IPAD MINI 3 64GB,1150000,1050000,850000,550000,500000,450000,0
APPLE,IPAD MINI 4,128GB,IPAD MINI 4 128GB,1700000,1450000,1150000,750000,700000,650000,0
APPLE,IPAD MINI 4,16GB,IPAD MINI 4 16GB,1250000,1150000,900000,600000,550000,500000,0
APPLE,IPAD MINI 4,32GB,IPAD MINI 4 32GB,1400000,1200000,950000,600000,550000,500000,0
APPLE,IPAD MINI 4,128GB,IPAD MINI 4 4G 128GB,1700000,1450000,1150000,750000,700000,650000,0
APPLE,IPAD MINI 4,16GB,IPAD MINI 4 4G 16GB,1250000,1150000,900000,600000,550000,500000,0
APPLE,IPAD MINI 4,32GB,IPAD MINI 4 4G 32GB,1400000,1200000,950000,600000,550000,500000,0
APPLE,IPAD MINI 4,64GB,IPAD MINI 4 4G 64GB,1500000,1350000,1100000,700000,650000,600000,0
APPLE,IPAD MINI 4,64GB,IPAD MINI 4 64GB,1500000,1350000,1100000,700000,650000,600000,0
APPLE,IPAD MINI 5,256GB,IPAD MINI 5 256GB,2150000,2050000,1650000,1050000,950000,850000,0
APPLE,IPAD MINI 5,256GB,IPAD MINI 5 256GB 4G,2150000,2050000,1650000,1050000,950000,850000,0
